Relationship,Text
located-at,"Since at least 2017, MuddyWater has targeted a range of government and private organizations across sectors, including telecommunications,  <e1> local government </e1>  defense, and oil and natural gas organizations, in the Middle East, Asia,  <e2> Africa </e2>  Europe, and North America."
uses,BoomBox is a downloader responsible for executing next stage components that has been used by  <e1> APT29 </e1>  <e2> BoomBox </e2> is a downloader responsible for executing next stage components that has been used by APT29 since at least 2021.
located-at,"BADHATCH has been used to target the insurance, retail,  <e1> technology </e1>  and chemical industries in the United States, Canada, South Africa,  <e2> Panama </e2>  and Italy."
belongs-to,"The group has targeted multiple private sector industries as well as foreign governments, dissidents, and journalists with a strong focus on Southeast Asian countries like Vietnam, the Philippines, Laos, and  <e1> Cambodia </e1>  <e2> Southeast Asian countries </e2> like Vietnam, the Philippines, Laos, and Cambodia."
uses,"In April 2021, the US and UK governments attributed the SolarWinds Compromise to the SVR; public statements included citations to  <e1> APT29 </e1>  Cozy Bear, and The Dukes. Industry reporting also referred to the actors involved in this campaign as UNC2452, NOBELIUM, StellarParticle, Dark Halo, and  <e2> SolarStorm </e2>."
originates-from,<e1> APT3 </e1> is a  <e2> China </e2> based threat group that researchers have attributed to China's Ministry of State Security.
actived-on,<e1> BS2005 </e1> is malware that was used by Ke3chang in spearphishing campaigns since at least  <e2> 2011 </e2>.
hosts,"<e1> HEXANE </e1> is a  <e2> cyber espionage </e2> threat group that has targeted oil & gas, telecommunications, aviation, and internet service provider organizations since at least 2017."
targets,"<e1> HAFNIUM </e1> primarily targets entities in the US across a number of industry sectors, including infectious disease researchers,  <e2> law </e2> firms, higher education institutions, defense contractors, policy think tanks, and NGOs."
located-at,"BackdoorDiplomacy has targeted Ministries of Foreign Affairs and  <e1> telecommunication </e1> companies in Africa, Europe, the Middle East, and  <e2> Asia </e2>."
actived-on,"<e1> TA2541 </e1> is a cybercriminal group that has been targeting the aviation, aerospace, transportation, manufacturing, and defense industries since at least  <e2> 2017 </e2>  TA2541 campaigns are typically high volume and involve the use of commodity remote access tools obfuscated by crypters and themes related to aviation, transportation, and travel."
actived-on,"Since at least 2017,  <e1> MuddyWater </e1>  <e2>  2017 </e2>  MuddyWater has targeted a range of government and private organizations across sectors, including telecommunications, local government, defense, and oil and natural gas organizations, in the Middle East, Asia, Africa, Europe, and North America."
belongs-to,It is mainly used to target Windows operating systems ranging from Windows XP through  <e1> Windows 10 </e1>  <e2> Windows operating systems </e2> ranging from Windows XP through Windows 10.
uses,"<e1> BitPaymer </e1> uses a unique  <e2> encryption key </e2>  ransom note, and contact information for each operation."
uses,"<e1> Magniber </e1> s new infection chainIn previous campaign, the threat actor used MSI and EXE files. jsThese files are obfuscated and use a variation of the "" <e2> DotNetToJScript </e2>  technique to execute a."
actived-on,<e1> Ajax Security Team </e1> is a group that has been active since at least  <e2> 2010 </e2> and believed to be operating out of Iran.
similar-to,"<e1> NEODYMIUM </e1> is reportedly associated closely with  <e2> BlackOasis </e2> operations, but evidence that the group names are aliases has not been identified."
targets,"Active since at least 2010,  <e1> Dragonfly </e1> has targeted  <e2> defense </e2> and aviation companies, government entities, companies related to industrial control systems, and critical infrastructure sectors worldwide through supply chain, spearphishing, and drive-by compromise attacks."
targets,"<e1> Mustang Panda </e1> has targeted government entities, nonprofits, religious, and other non-governmental organizations in the U. , Europe, Mongolia,  <e2> Myanmar </e2>  Pakistan, and Vietnam, among others."
located-at,"Mustang Panda has targeted  <e1> government </e1> entities, nonprofits, religious, and other non-governmental organizations in the U. , Europe, Mongolia,  <e2> Myanmar </e2>  Pakistan, and Vietnam, among others."
attributed-to,"In November 2021, the Ukrainian government publicly attributed  <e1> Gamaredon </e1> Group to  <e2> Russia's Federal Security Service (FSB) Center 18 </e2>."
targets,"<e1> BackdoorDiplomacy </e1> has targeted Ministries of Foreign Affairs and telecommunication companies in Africa, Europe, the Middle East, and  <e2> Asia </e2>."
targets,"<e1> XCSSET </e1> is a macOS modular backdoor that targets  <e2> Xcode application developers </e2>  XCSSET was first observed in August 2020 and has been used to install a backdoor component, modify browser applications, conduct collection, and provide ransomware-like encryption capabilities."
uses,<e1> BloodHound </e1> is an Active Directory (AD)  <e2> reconnaissance </e2> tool that can reveal hidden relationships and identify attack paths within an AD environment.
belongs-to,TV has been defaced by  <e1> Bangladeshi hacker </e1> who goes by the name  <e2> Ashik Iqbal Chy </e2>.
actived-on,"<e1> Orangeworm </e1> is a group that has targeted organizations in the healthcare sector in the United States, Europe, and Asia since at least  <e2> 2015 </e2>  likely for the purpose of corporate espionage."
targets,"<e1> Sowbug </e1> is a threat group that has conducted targeted attacks against organizations in South America and  <e2> Southeast Asia </e2>  particularly government entities, since at least 2015."
targets,"<e1> Bandook </e1> is a commercially available RAT, written in Delphi and C++, that has been available since at least 2007. It has been used against government, financial, energy, healthcare, education, IT, and legal organizations in the US, South America,  <e2> Europe </e2>  and Southeast Asia."
targets,<e1> Industroyer </e1> is a sophisticated malware framework designed to cause an impact to the working processes of  <e2> Industrial Control Systems (ICS) </e2>  specifically components used in electrical substations.
located-at,"Ke3chang has targeted  <e1> oil </e1>  government, diplomatic, military, and NGOs in Central and South America, the Caribbean, Europe, and  <e2> North America </e2> since at least 2010."
originates-from,"<e1> SideCopy </e1> is a  <e2> Pakistani </e2> threat group that has primarily targeted South Asian countries, including Indian and Afghani government personnel, since at least 2019."
targets,"<e1> Winnti </e1> Group is a threat group with Chinese origins that has been active since at least 2010. The group has heavily targeted the  <e2> gaming </e2> industry, but it has also expanded the scope of its targeting."
belongs-to,"<e1> Imminent Monitor </e1> was a commodity  <e2> remote access tool (RAT) </e2> offered for sale from 2012 until 2019, when an operation was conducted to take down the Imminent Monitor infrastructure."
uses,<e1> AppleJeus </e1> has been used to distribute the  <e2> FALLCHILL RAT </e2>.
similar-to,"This group is also known as  <e1> Shell Crew </e1>  WebMasters,  <e2> KungFu Kittens </e2>  and PinkPanther."
uses,CALENDAR is malware used by  <e1> APT1 </e1>  <e2> CALENDAR </e2> is malware used by APT1 that mimics legitimate Gmail Calendar traffic.
targets,"<e1> Mustang Panda </e1> has targeted government entities, nonprofits,  <e2> religious </e2>  and other non-governmental organizations in the U."
originates-from,<e1> SilverTerrier </e1> is a  <e2> Nigerian </e2> threat group that has been seen active since 2014.
actived-on,"<e1> Inception </e1> is a cyber espionage group active since at least  <e2> 2014 </e2>  The group has targeted multiple industries and governmental entities primarily in Russia, but has also been active in the United States and throughout Europe, Asia, Africa, and the Middle East."
uses,"AppleSeed is a backdoor that has been used by  <e1> Kimsuky </e1>  <e2> AppleSeed </e2> is a backdoor that has been used by Kimsuky to target South Korean government, academic, and commercial targets since at least 2021."
belongs-to,<e1> BADFLICK </e1> is a  <e2> backdoor </e2> used by Leviathan in spearphishing campaigns first reported in 2018 that targeted the U.
